Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) [],,Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) []
19.6,0,-17,-6.041433154,-7.903369803,,19.6,90,-17,-7.304742937,-7.74234728
19.6,0,-16,-13.29052002,-8.575708513,,19.6,90,-16,-13.86381486,-9.102799409
19.6,0,-15,-3.499427067,-27.66994788,,19.6,90,-15,-3.032661714,-29.15338381
19.6,0,-14,-0.90979907,-10.6092487,,19.6,90,-14,-0.932733997,-12.24288723
19.6,0,-13,-4.247759141,-5.242050221,,19.6,90,-13,-4.574273498,-6.802075949
19.6,0,-12,-2.922108419,-8.391418651,,19.6,90,-12,-3.248560398,-10.83934272
19.6,0,-11,3.703825989,-2.238321999,,19.6,90,-11,3.609688359,-1.947468072
19.6,0,-10,2.38275717,0.911864686,,19.6,90,-10,2.169471024,0.506312175
19.6,0,-9,-0.314212326,-6.33575646,,19.6,90,-9,1.364197763,-8.432028222
19.6,0,-8,5.874796608,1.327094968,,19.6,90,-8,6.999648688,1.705559061
19.6,0,-7,6.828725781,-1.115584526,,19.6,90,-7,7.129084914,-1.14907927
19.6,0,-6,4.360942267,-0.768834353,,19.6,90,-6,5.077704088,0.410339951
19.6,0,-5,16.56329438,6.892887548,,19.6,90,-5,16.42657107,7.369570866
19.6,0,-4,20.75656411,6.310428277,,19.6,90,-4,20.34177089,6.603754119
19.6,0,-3,9.324697343,8.630419069,,19.6,90,-3,6.586835703,8.496237339
19.6,0,-2,26.71169237,8.767447662,,19.6,90,-2,26.89807543,8.426619163
19.6,0,-1,34.08850972,1.110834316,,19.6,90,-1,34.11250664,0.149840627
19.6,0,0,36.08711437,-19.98554912,,19.6,90,0,36.08711437,-19.98554912
19.6,0,1,34.1037268,0.370796233,,19.6,90,1,34.14056965,-0.146947329
19.6,0,2,26.75763119,8.620530249,,19.6,90,2,26.98006382,8.380514913
19.6,0,3,9.140293479,8.801640858,,19.6,90,3,6.035088807,8.798806415
19.6,0,4,20.72725509,6.024611607,,19.6,90,4,20.33245564,7.181437633
19.6,0,5,16.54517996,6.378663648,,19.6,90,5,16.49444518,7.465349486
19.6,0,6,4.559421447,-0.923689955,,19.6,90,6,5.249473633,0.219351993
19.6,0,7,7.04977114,-1.683265351,,19.6,90,7,7.35609455,-0.919191251
19.6,0,8,6.269143186,0.919168508,,19.6,90,8,7.366364551,1.765542565
19.6,0,9,0.42574098,-8.029816711,,19.6,90,9,1.907389945,-9.388051541
19.6,0,10,2.465805976,0.650287002,,19.6,90,10,2.412091181,0.235302615
19.6,0,11,3.781803557,-2.242086712,,19.6,90,11,3.895407902,-2.259749556
19.6,0,12,-2.743735168,-9.270013405,,19.6,90,12,-2.543005951,-10.42274752
19.6,0,13,-2.820880965,-5.862017568,,19.6,90,13,-4.102700452,-6.525047674
19.6,0,14,-0.009600178,-10.70812483,,19.6,90,14,-0.401250919,-12.16105639
19.6,0,15,-2.805241911,-27.58125703,,19.6,90,15,-2.275851258,-25.39215416
19.6,0,16,-11.74931781,-8.004081418,,19.6,90,16,-11.94132747,-8.488252128
19.6,0,17,-6.067363566,-7.090856262,,19.6,90,17,-7.489947564,-7.407076676
19.6,0,18,-5.692927667,-15.77760164,,19.6,90,18,-6.824101892,-14.47250801
19.6,0,19,-10.3774092,-6.337993646,,19.6,90,19,-12.93230641,-6.142547298
19.6,0,20,-16.73200911,-7.03049589,,19.6,90,20,-13.9853805,-6.505431017
19.6,0,21,-5.207025518,-20.50709421,,19.6,90,21,-5.014439022,-18.923319
19.6,0,22,-6.204429105,-11.42725909,,19.6,90,22,-6.105036733,-10.0912716
19.6,0,23,-18.49215868,-11.98810227,,19.6,90,23,-18.93257162,-9.42639177
19.6,0,24,-9.791196945,-23.04378842,,19.6,90,24,-11.75153128,-19.27819052
19.6,0,25,-13.92218497,-18.00108568,,19.6,90,25,-17.28411087,-17.95872543
19.6,0,26,-18.27634957,-16.73323559,,19.6,90,26,-14.64223224,-15.30875177
