CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
56,H_EQ_rawGain_std2_TDL,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00594666666666667,0.24976,0.237866666666667,1.54094106463178,36.2442794228367,36.2442794228328,0.00421757937371282,14.9707706475041,1.92865493310657e-15,4.92999308248209,wrap,10,0.26856,0,afterEqualizer,zf,1,OK,,3.9950872
57,H_EQ_rawGain_std2_TDL,8PSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00446,0.18732,0.1784,1.5475945121579,36.2068563795296,36.2068563795257,-0.00543802660754747,14.7758081724276,1.92865493310657e-15,4.82751306279333,wrap,10,0.20142,0,afterEqualizer,zf,1,OK,,4.1053775
58,H_EQ_rawGain_std2_TDL,8PSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00396444444444444,0.166506666666667,0.158577777777778,1.50255595492301,36.4633869194586,36.4633869194544,0.00638024230159047,14.6726225745727,1.92865493310657e-15,4.7710123044854,wrap,10,0.17901,0,afterEqualizer,zf,1,OK,,3.9852433
59,H_EQ_rawGain_std2_TDL,8PSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,40,43,0.0035712,0.1535616,0.142848,1.51256271468269,36.4057321870506,36.4057321870466,-0.00464342501923597,14.7921257428977,1.92865493310657e-15,4.82648855865494,wrap,10,0.16128,0,afterEqualizer,zf,1,OK,,4.2254971
60,H_EQ_rawGain_std2_TDL,8PSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00342247619047619,0.143744,0.136899047619048,1.51371055873201,36.399143193717,36.3991431937129,-0.00489030972943059,14.9080115705812,1.92865493310657e-15,4.90278308065442,wrap,10,0.15453,0,afterEqualizer,zf,1,OK,,4.4740137
61,H_EQ_rawGain_std2_TDL,OQPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,42,44,0.00446,0.19624,0.18732,2.84345441969811,30.9230745810989,30.9230745810978,-0.127055053636707,14.7726533313883,1.92865493310657e-15,4.82751306279333,wrap,10,0.20142,0,afterEqualizer,zf,1,OK,,4.9808591
62,H_EQ_rawGain_std2_TDL,OQPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.00892,0.38356,0.36572,2.69927871783351,31.3750453887694,31.3750453887682,0.156819608050904,14.7733491549676,1.92865493310657e-15,4.74593113239045,wrap,10,0.40284,0,afterEqualizer,zf,1,OK,,8.1506347
63,H_EQ_rawGain_std2_TDL,OQPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.00669,0.28767,0.27429,4.14951956846101,27.6400436601896,27.6400436601891,0.0500125425334861,14.9632399570577,1.92865493310657e-15,4.93653451561457,wrap,10,0.30213,0,afterEqualizer,zf,1,OK,,7.1537187
64,H_EQ_rawGain_std2_TDL,OQPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.00594666666666667,0.255706666666667,0.243813333333333,2.40260504469376,32.3863523076644,32.3863523076628,-0.0594166926110482,14.9680529789429,1.92865493310657e-15,4.92999308248209,wrap,10,0.26856,0,afterEqualizer,zf,1,OK,,6.7013331
65,H_EQ_rawGain_std2_TDL,OQPSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0053568,0.2303424,0.2196288,1.97570379441356,34.0855633214289,34.0855633214265,-0.136326436831153,15.0691234006878,1.92865493310657e-15,4.98055034150272,wrap,10,0.24192,0,afterEqualizer,zf,1,OK,,6.708863
66,H_EQ_rawGain_std2_TDL,OQPSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.00513371428571429,0.220749714285714,0.210482285714286,1.98164861918542,34.0594670199974,34.0594670199951,0.0327195371871635,15.0828590313059,1.92865493310657e-15,4.99545745009955,wrap,10,0.23184,0,afterEqualizer,zf,1,OK,,6.962823
67,H_EQ_rawGain_std2_TDL,16QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,44,0.00223,0.09812,0.09143,2.8294335834119,30.9660099200387,30.9764204998985,0.19632720220001,15.4498531102443,1.92865493310657e-15,5.21928592050152,wrap,10,0.10071,0,afterEqualizer,zf,1,OK,,2.4053532
68,H_EQ_rawGain_std2_TDL,16QAM,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,43,0.00446,0.19178,0.1784,3.16793311928621,29.9844799143247,29.9663755806994,0.555895987229767,14.7808747788503,1.92865493310657e-15,4.82751306279333,wrap,10,0.20142,0,afterEqualizer,zf,1,OK,,3.2123654
69,H_EQ_rawGain_std2_TDL,16QAM,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.003345,0.143835,0.137145,2.99421320788721,30.4743455647481,30.4750403803343,-0.198395475010941,14.9745881212543,1.92865493310657e-15,4.93865875783642,wrap,10,0.151065,0,afterEqualizer,zf,1,OK,,3.4722411
70,H_EQ_rawGain_std2_TDL,16QAM,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00297333333333333,0.12488,0.118933333333333,3.2595094512691,29.7369551068457,29.7027722468736,-0.679729040848452,15.2558002911396,1.92865493310657e-15,5.13280782801143,wrap,10,0.13428,0,afterEqualizer,zf,1,OK,,3.3809675
71,H_EQ_rawGain_std2_TDL,16QAM,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.0026784,0.1124928,0.107136,2.69339825339074,31.3939885168997,31.3591052384402,0.0188336809818754,15.2900395249494,1.92865493310657e-15,5.13712330202799,wrap,10,0.12096,0,afterEqualizer,zf,1,OK,,3.6002319
72,H_EQ_rawGain_std2_TDL,16QAM,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00256685714285714,0.107808,0.102674285714286,2.65551709807517,31.5170179588882,31.5065823635918,0.176459189341822,15.3094316338616,1.92865493310657e-15,5.13615060089358,wrap,10,0.11592,0,afterEqualizer,zf,1,OK,,3.8740582
73,H_EQ_rawGain_std3_CDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,42,44,0.00892,0.39248,0.37464,3.71737771299898,28.595266182782,28.595266182782,NaN,13.0462370202984,1.92865493310657e-15,3.46365608910899,wrap,10,0.40284,0,afterEqualizer,zf,1,OK,,3.4664997
74,H_EQ_rawGain_std3_CDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.01784,0.76712,0.73144,3.73467812657163,28.5549364385644,28.5549364385644,NaN,13.2239049737496,1.92865493310657e-15,3.54368939063653,wrap,10,0.80568,0,afterEqualizer,zf,1,OK,,5.3480683
75,H_EQ_rawGain_std3_CDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.01338,0.57534,0.54858,3.74758599482227,28.5249678545928,28.5249678545928,NaN,13.0869420129538,1.92865493310657e-15,3.4845351392609,wrap,10,0.60426,0,afterEqualizer,zf,1,OK,,4.4631898
76,H_EQ_rawGain_std3_CDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0118933333333333,0.511413333333333,0.487626666666667,3.74872891177901,28.5223192863956,28.5223192863956,NaN,12.9973293716947,1.92865493310657e-15,3.44777685397617,wrap,10,0.53712,0,afterEqualizer,zf,1,OK,,4.2179676
77,H_EQ_rawGain_std3_CDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0107136,0.4606848,0.4392576,3.74426312970816,28.5326727725846,28.5326727725846,NaN,12.8962958637269,1.92865493310657e-15,3.41071858333876,wrap,10,0.48384,0,afterEqualizer,zf,1,OK,,4.0083644
