CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s,TestStage,ImpairmentProfile,InputCFO_Hz,InputPhase_deg,InputDelay,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
9,NoH_baseline,GMSK,LDPC,4/5,1115,1024,0,NaN,0,0,0,0,0,100,0,37,39,0.0005575,0.0217425,0.0206275,3.72633841715281,28.5743541212271,28.5743541212271,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.6835701,noh-impairments,phase_90deg,0,90,0,37,0,0,0,0,37,0
10,NoH_baseline,GMSK,LDPC,7/8,1115,7136,0,NaN,0,0,0,0,0,100,0,37,39,0.000509714285714286,0.0198788571428571,0.0188594285714286,3.71073904165199,28.6107917281982,28.6107917281982,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,3.824965,noh-impairments,phase_90deg,0,90,0,37,0,0,0,0,37,0
11,NoH_baseline,GMSK,Turbo,1/2,1115,1784,0,NaN,0,0,0,0,0,100,0,37,39,0.000892,0.034788,0.033004,3.72071130221042,28.5874805298088,28.5874805298088,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,1.905524,noh-impairments,phase_90deg,0,90,0,37,0,0,0,0,37,0
12,NoH_baseline,GMSK,Turbo,1/3,1115,1784,0,NaN,0,0,0,0,0,100,0,37,39,0.001338,0.052182,0.049506,3.73031721511933,28.5650847101094,28.5650847101094,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,2.056166,noh-impairments,phase_90deg,0,90,0,37,0,0,0,0,37,0
13,NoH_baseline,GMSK,Turbo,1/4,1115,1784,0,NaN,0,0,0,0,0,100,0,37,39,0.001784,0.069576,0.066008,3.73098849090333,28.5635218127769,28.5635218127769,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,2.2810199,noh-impairments,phase_90deg,0,90,0,37,0,0,0,0,37,0
14,NoH_baseline,GMSK,Turbo,1/6,1115,1784,0,NaN,0,0,0,0,0,100,0,37,39,0.002676,0.104364,0.099012,3.7528002279707,28.5128910735777,28.5128910735777,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,2.7060456,noh-impairments,phase_90deg,0,90,0,37,0,0,0,0,37,0
15,NoH_baseline,GMSK,TPC,1/2_x8,1024,NaN,0,8,0,0,0,0,0,100,0,37,39,0.0008192,0.0319488,0.0303104,3.72905449092913,28.5680254090037,28.5680254090037,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,79.9923388,noh-impairments,phase_90deg,0,90,0,37,0,0,0,0,37,0
16,NoH_baseline,GMSK,TPC,2/3_x4,1352,NaN,0,4,0,0,0,0,0,100,0,37,39,0.0008112,0.0316368,0.0300144,3.73563581275724,28.5527093951953,28.5527093951953,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,41.4614746,noh-impairments,phase_90deg,0,90,0,37,0,0,0,0,37,0
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0.0368024414549078,56.4102564102564,0.277777777777778,18,22,0.000446,0.009812,0.008028,3.74448534767248,28.5321572897319,28.5321572897319,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,3.7571548,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,18,0,5,5,27.7777777777778,13,0
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0.5,0,NaN,0,37,0.000892,0.033004,0,3.738040204649,28.5471206371891,28.5471206371891,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,6.6032649,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,0,0,NaN,NaN,NaN,0,0
