CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
35,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,-2,0,NaN,0,0,0.000223,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502761255483,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.01119,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,15.2047296
36,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,-2,0,NaN,0,0,0.000198222222222222,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502701753472,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.009945,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,14.7132033
37,H_EQ_rawGain_default_ChannelData,16QAM,none,none,1115,NaN,0,NaN,1,1,0,0,NaN,0,NaN,0,0,0.0001115,0,0,44.7213595499953,6.98970004336028,-4.82163733276644e-15,-0,-138.520653281977,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.005595,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,16.2435059
38,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,12,0.000223,0.002676,0,44.7213595499953,6.98970004336028,-4.82163733276644e-15,-0,-138.500276656768,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.01119,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,29.8359694
39,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,NaN,0,NaN,0,0,0.00016725,0,0,44.7213595499953,6.98970004336028,-4.82163733276644e-15,-0,-138.501867170421,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.0083925,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,107.1322213
40,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,NaN,0,NaN,0,0,0.000148666666666667,0,0,44.7213595499953,6.98970004336028,-4.82163733276644e-15,-0,-138.502965149777,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.00746,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,47.8074414
41,H_EQ_rawGain_default_ChannelData,32QAM,none,none,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,10,8.92e-05,0.000892,0,31.6227766016834,10.0000000000001,-9.64327466553288e-15,-0,-138.512996808863,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.004475,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,12.8549486
42,H_EQ_rawGain_default_ChannelData,32QAM,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,29,0.0001784,0.0051736,0,31.6227766016834,10.0000000000001,-9.64327466553288e-15,-0,-138.503333976947,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.00895,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,20.6674274
43,H_EQ_rawGain_default_ChannelData,32QAM,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,24,0.0001338,0.0032112,0,31.6227766016834,10.0000000000001,-9.64327466553288e-15,-0,-138.508217366849,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.0067125,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,108.1804549
44,H_EQ_rawGain_default_ChannelData,32QAM,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,8,0.000118933333333333,0.000951466666666667,0,31.6227766016834,10.0000000000001,-9.64327466553288e-15,-0,-138.5019105594,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.0059675,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,48.4361818
