CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s,TestStage,ImpairmentProfile,InputCFO_Hz,InputPhase_deg,InputDelay,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
25,H_EQ_rawGain_default_ChannelData,GMSK,LDPC,4/5,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.0005575,0.0217425,0.0206275,3.68369306425585,28.6743312722905,28.6743312722905,NaN,16.8842996824842,1.92865493310657e-15,6.61459391367498,error,10,0.002688,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,1.2511329,all-h,baseline,0,0,0,37,0,0,0,0,37,0
26,H_EQ_rawGain_default_ChannelData,GMSK,LDPC,7/8,1115,7136,0,NaN,1,1,0,1,0,100,0,37,39,0.000509714285714286,0.0198788571428571,0.0188594285714286,3.6713883451777,28.703393501707,28.703393501707,NaN,15.9360647501785,1.92865493310657e-15,5.79369522625314,error,10,0.016384,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,7.9947492,all-h,baseline,0,0,0,37,0,0,0,0,37,0
27,H_EQ_rawGain_default_ChannelData,GMSK,Turbo,1/2,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,3.73893232565015,28.5450479093397,28.5450479093397,NaN,15.9897475699092,1.92865493310657e-15,6.00800571325372,error,10,0.00728,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.6885603,all-h,baseline,0,0,0,37,0,0,0,0,37,0
28,H_EQ_rawGain_default_ChannelData,GMSK,Turbo,1/3,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001338,0.052182,0.049506,6.09505141679581,24.3004525279456,24.3004525279456,NaN,15.6706876396315,1.92865493310657e-15,5.70189079929047,error,10,0.01092,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,4.282397,all-h,baseline,0,0,0,37,0,0,0,0,37,0
29,H_EQ_rawGain_default_ChannelData,GMSK,Turbo,1/4,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001784,0.069576,0.066008,4.5152347761519,26.9063932598937,26.9063932598937,NaN,15.9988176058618,1.92865493310657e-15,5.85918722031439,error,10,0.01456,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,4.8593701,all-h,baseline,0,0,0,37,0,0,0,0,37,0
30,H_EQ_rawGain_default_ChannelData,GMSK,Turbo,1/6,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.002676,0.104364,0.099012,5.86030644534197,24.6415934678932,24.6415934678932,NaN,16.3615371987869,1.92865493310657e-15,6.05893647862903,error,10,0.02184,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,5.9462862,all-h,baseline,0,0,0,37,0,0,0,0,37,0
31,H_EQ_rawGain_default_ChannelData,GMSK,TPC,1/2_x8,1024,NaN,0,8,1,1,0,1,0,100,0,37,39,0.0008192,0.0319488,0.0303104,3.89571452079644,28.188257517313,28.188257517313,NaN,18.532528837134,1.92865493310657e-15,7.40981636923552,error,10,0.0654288,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,175.250519,all-h,baseline,0,0,0,37,0,0,0,0,37,0
32,H_EQ_rawGain_default_ChannelData,GMSK,TPC,2/3_x4,1352,NaN,0,4,1,1,0,1,0,100,0,37,39,0.0008112,0.0316368,0.0300144,3.65917007914336,28.7323480785553,28.7323480785553,NaN,16.2518659862804,1.92865493310657e-15,5.95148168078126,error,10,0.0328176,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,41.8667654,all-h,baseline,0,0,0,37,0,0,0,0,37,0
33,H_EQ_rawGain_std2_likely_TDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.000446,0.017394,0.016502,3.79191473308709,28.4228287397918,28.4228287397918,NaN,14.7583332980081,1.92865493310657e-15,5.26393696534763,error,10,0.017904,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.2933493,all-h,baseline,0,0,0,37,0,0,0,0,37,0
34,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000892,0.033896,0.032112,3.81437575410908,28.3715305367701,28.3715305367701,NaN,16.3044241641523,1.92865493310657e-15,5.92784786775793,error,10,0.035808,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.9597615,all-h,baseline,0,0,0,36,0,0,0,0,36,0
