Category,CaseName,Modulation,Coding,PCMFormat,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
PCM format,QPSK none NRZ-M @ 20dB,QPSK,none,NRZ-M,20,20000,10,0.1,0,100,5.79354890320338,24.7411064562945,24.7411064562947,3.91857484677697,0.005,80,1,PASS,,3.083498
PCM format,QPSK none NRZ-M @ 24dB,QPSK,none,NRZ-M,24,20000,10,0.1,0,100,4.300188294639,27.3302505463971,27.3302505463976,3.91853710436489,0.005,80,1,PASS,,3.0776814
PCM format,QPSK none NRZ-S @ 16dB,QPSK,none,NRZ-S,16,20000,10,0.1,0,100,8.37511059162509,21.540188989666,21.5401889896661,3.91851959832068,0.005,80,1,PASS,,3.0596852
PCM format,QPSK none NRZ-S @ 20dB,QPSK,none,NRZ-S,20,20000,10,0.1,0,100,5.71508852921638,24.859540756109,24.8595407561093,3.97113961626725,0.005,80,1,PASS,,3.0610402
PCM format,QPSK none NRZ-S @ 24dB,QPSK,none,NRZ-S,24,20000,10,0.1,0,100,4.27578249580947,27.3796878993501,27.3796878993505,3.91848007344401,0.005,80,1,PASS,,3.0666823
PCM format,QPSK convolutional NRZ-L @ 16dB,QPSK,convolutional,NRZ-L,16,20000,10,0.1,0,100,8.4624743622499,21.4500526807007,21.4500526807008,3.86523684554738,0.005,80,1,PASS,,10.1251329
PCM format,QPSK convolutional NRZ-L @ 20dB,QPSK,convolutional,NRZ-L,20,20000,10,0.1,0,100,5.7465170087299,24.8119060704049,24.8119060704051,3.86538866745942,0.005,80,1,PASS,,10.2279309
PCM format,QPSK convolutional NRZ-L @ 24dB,QPSK,convolutional,NRZ-L,24,20000,10,0.1,0,100,4.31172283699346,27.3069832784714,27.3069832784719,3.86511686329782,0.005,80,1,PASS,,10.0808859
PCM format,QPSK convolutional NRZ-M @ 16dB,QPSK,convolutional,NRZ-M,16,20000,10,0.1,8.71948181365222e-05,100,8.54801468008354,21.3626948132809,21.362694813281,3.86532899401614,0.005,80,1,PASS,,74.9431687
PCM format,QPSK convolutional NRZ-M @ 20dB,QPSK,convolutional,NRZ-M,20,20000,10,0.1,0.000143248629795715,100,5.80067962484002,24.7304224045121,24.7304224045124,3.86517995217034,0.005,80,1,PASS,,73.6136158
