ModType,NoisePSD,Seed,EqSNR_dB,LockPct,BER,FER,SyncOK,DecodeOK,ZeroErrorOK
16QAM,-152,364237771,5.77126591697183,96.6292134831461,0.0276527887658228,0.0632911392405063,0,0,0
16QAM,-152,364238780,5.78825573234865,97.752808988764,0.012139042721519,0.0253164556962025,0,0,0
16QAM,-152,364239789,5.77479858986577,94.3820224719101,0.0166015625,0.0526315789473684,0,0,0
16QAM,-152,364240798,5.78801618037197,96.6292134831461,0.0330153245192308,0.0769230769230769,0,0,0
16QAM,-152,364241807,5.7861131264476,96.6292134831461,0.0212158203125,0.05,0,0,0
16QAM,-151,364232726,4.79170217140496,94.3820224719101,0.0593904194078947,0.144736842105263,0,0,0
16QAM,-151,364233735,4.79520513586374,94.3820224719101,0.0571414262820513,0.141025641025641,0,0,0
16QAM,-151,364234744,4.78798809459676,89.8876404494382,0.0327081549657534,0.0958904109589041,0,0,0
16QAM,-151,364235753,4.79055159528244,95.5056179775281,0.0322646103896104,0.0779220779220779,0,0,0
16QAM,-151,364236762,4.78261744984316,95.5056179775281,0.0390249399038462,0.0897435897435897,0,0,0
16QAM,-151,364237771,4.77126591697183,87.6404494382023,0.0268487799657534,0.0547945205479452,0,0,0
16QAM,-151,364238780,4.78825573234865,95.5056179775281,0.0285832331730769,0.0769230769230769,0,0,0
16QAM,-151,364239789,4.77479858986577,91.0112359550562,0.0519270833333333,0.12,0,0,0
16QAM,-151,364240798,4.78801618037197,94.3820224719101,0.0374184137658228,0.0886075949367089,0,0,0
16QAM,-151,364241807,4.7861131264476,87.6404494382023,0.017578125,0.0416666666666667,0,0,0
16QAM,-150,364232726,3.79170217140496,87.6404494382023,0.059814453125,0.166666666666667,0,0,0
16QAM,-150,364233735,3.79520513586374,87.6404494382023,0.0571010044642857,0.128571428571429,0,0,0
16QAM,-150,364234744,3.78798809459676,87.6404494382023,0.0682915581597222,0.138888888888889,0,0,0
16QAM,-150,364235753,3.79055159528244,93.2584269662921,0.0744194135273973,0.164383561643836,0,0,0
16QAM,-150,364236762,3.78261744984316,92.1348314606742,0.0594675164473684,0.131578947368421,0,0,0
16QAM,-150,364237771,3.77126591697183,82.0224719101124,0.0165153952205882,0.0588235294117647,0,0,0
16QAM,-150,364238780,3.78825573234865,89.8876404494382,0.0491536458333333,0.125,0,0,0
16QAM,-150,364239789,3.77479858986577,86.5168539325843,0.0623349471830986,0.126760563380282,0,0,0
16QAM,-150,364240798,3.78801618037197,46.0674157303371,0.0721794577205882,0.147058823529412,0,0,0
