Scenario,ModType,RSName,RSMessageLength,RSInterleavingDepth,InputBytes,CodedBytes,Runs,BER_mean,BER_median,BER_worst,Lock_mean_pct,Lock_worst_pct,FER_mean,MER_mean_dB,PassRate_pct,ZeroBERRate_pct,ErrorRuns
std4_ITU_P681,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,35.7130472218239,100,100,0
std4_ITU_P681,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,31.7155165355312,100,100,0
std4_ITU_P681,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,33.1499217010161,100,100,0
std4_ITU_P681,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,32.7877575241317,100,100,0
std4_ITU_P681,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,30.7988191783485,100,100,0
std4_ITU_P681,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,21.367333174795,100,100,0
std4_ITU_P681,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,36.0950420541162,100,100,0
std4_ITU_P681,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,31.9456332605678,100,100,0
std4_ITU_P681,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,97.0588235294118,97.0588235294118,0,33.2091995382843,100,100,0
std4_ITU_P681,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,29.1276937514166,100,100,0
std4_ITU_P681,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,33.078530691878,100,100,0
std4_ITU_P681,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,26.0215817876273,100,100,0
std4_ITU_P681,8PSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,31.5527293650098,100,100,0
std4_ITU_P681,8PSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,34.9762453247156,100,100,0
std4_ITU_P681,8PSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,33.2267175001331,100,100,0
std4_ITU_P681,8PSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,29.1587929194376,100,100,0
std4_ITU_P681,8PSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,97.0588235294118,97.0588235294118,0,33.028677063827,100,100,0
std4_ITU_P681,8PSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,25.9362430429972,100,100,0
std4_ITU_P681,8PSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,97.0588235294118,97.0588235294118,0,31.5717608051492,100,100,0
std4_ITU_P681,8PSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,97.0588235294118,97.0588235294118,0,35.0274331169378,100,100,0
std5_Jakes,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,36.1532592941659,100,100,0
std5_Jakes,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,36.3647673587297,100,100,0
std5_Jakes,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,36.7232699665408,100,100,0
std5_Jakes,QPSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,35.4590664657985,100,100,0
std5_Jakes,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,35.2368454064541,100,100,0
std5_Jakes,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,36.6764648041119,100,100,0
std5_Jakes,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,36.0300339013069,100,100,0
std5_Jakes,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,36.4968850154446,100,100,0
std5_Jakes,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,36.6394732449963,100,100,0
std5_Jakes,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,35.3630636530375,100,100,0
std5_Jakes,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,35.2748592883434,100,100,0
std5_Jakes,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,36.5145498284669,100,100,0
std5_Jakes,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,35.8955956188906,100,100,0
std5_Jakes,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,35.7780002429085,100,100,0
std5_Jakes,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,97.0588235294118,97.0588235294118,0,36.4912090077775,100,100,0
std5_Jakes,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,35.7149727068348,100,100,0
std5_Jakes,8PSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,97.0588235294118,97.0588235294118,0,35.9386955676539,100,100,0
std5_Jakes,8PSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,35.9760439116724,100,100,0
std5_Jakes,8PSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,97.0588235294118,97.0588235294118,0,35.8443140488994,100,100,0
std5_Jakes,8PSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,35.8505530413198,100,100,0
std5_Jakes,8PSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,36.4533011129927,100,100,0
std5_Jakes,8PSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,35.8433052368693,100,100,0
