CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s,DetectionMode,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
24,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.67846036894546,28.6866783721007,28.6866783721007,NaN,17.5143098806586,1.92865493310657e-15,6.48766595752641,error,10,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.4017449,official-viterbi-frame-reset,116,0,0,0,0,116,0
25,H_EQ_rawGain_std4_likely_ITU_P681,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,1.91636962937411e-06,100,0.00854700854700855,117,119,0.000446,0.053074,0.052182,3.90477891412419,28.168071010863,28.168071010863,NaN,16.6509744782422,1.92865493310657e-15,5.79473909581633,error,10,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.867486,official-viterbi-frame-reset,117,0,1,1,0.854700854700855,116,0
26,H_EQ_rawGain_std4_likely_ITU_P681,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000892,0.105256,0.103472,3.71988450249037,28.5894108835975,28.5894108835975,NaN,16.8327628664269,1.92865493310657e-15,6.03422999650017,error,10,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,10.061952,official-viterbi-frame-reset,116,0,0,0,0,116,0
27,H_EQ_rawGain_std4_likely_ITU_P681,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000669,0.078942,0.077604,6.55536139224055,23.6680672195862,23.6680672195862,NaN,17.0532003776157,1.92865493310657e-15,6.22318150930138,error,10,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.8328101,official-viterbi-frame-reset,116,0,0,0,0,116,0
28,H_EQ_rawGain_std4_likely_ITU_P681,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.74545634576558,28.5299052074947,28.5299052074947,NaN,16.9291368317997,1.92865493310657e-15,6.1158162084957,error,10,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.1441503,official-viterbi-frame-reset,116,0,0,0,0,116,0
29,H_EQ_rawGain_std4_likely_ITU_P681,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.69916718523108,28.6379208028214,28.6379208028214,NaN,17.0185220658714,1.92865493310657e-15,6.16939981765344,error,10,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.5663444,official-viterbi-frame-reset,116,0,0,0,0,116,0
30,H_EQ_rawGain_std4_likely_ITU_P681,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.72269663804188,28.5828470585618,28.5828470585618,NaN,16.977319491858,1.92865493310657e-15,6.10536947207053,error,10,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.3649166,official-viterbi-frame-reset,116,0,0,0,0,116,0
31,H_EQ_rawGain_std5_likely_Jakes,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,117,119,0.000446,0.053074,0.052182,3.7213953204414,28.5858838563983,28.5858838563983,NaN,-65.2491944974388,1.92865493310657e-15,0.00053793915611437,error,2,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.174361,official-viterbi-frame-reset,117,0,0,0,0,117,0
32,H_EQ_rawGain_std5_likely_Jakes,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000892,0.105256,0.103472,3.74959987529253,28.5203014786398,28.5203014786398,NaN,-65.2138407410512,1.92865493310657e-15,0.00053893543690687,error,2,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,9.975168,official-viterbi-frame-reset,116,0,0,0,0,116,0
33,H_EQ_rawGain_std5_likely_Jakes,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000669,0.078942,0.077604,3.73848927976605,28.5460772073682,28.5460772073682,NaN,-65.2038516926986,1.92865493310657e-15,0.000539322357376593,error,2,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.7471742,official-viterbi-frame-reset,116,0,0,0,0,116,0
